yacimiento,provincia,mineraliza,geojson,geom
CARMEN LIDIA; LOS PANCHOS,CORDOBA,MANGANESO,"{""type"":""Point"",""coordinates"":[-64.1799774727548,-29.7133058057874]}",0101000020E6100000EADF3BC0840B50C06EE793359BB63DC0
CACHI; DO¥A MARIA,CORDOBA,MANGANESO,"{""type"":""Point"",""coordinates"":[-64.0235700443455,-29.7530989520643]}",0101000020E61000004468EE2B820150C0A0C4C917CBC03DC0
COMPIN I; EMMA I-II,LA RIOJA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-68.8283794600771,-29.652481409345]}",0101000020E6100000656D482B043551C076628A0509A73DC0
MIGUEL,CORDOBA,MANGANESO,"{""type"":""Point"",""coordinates"":[-64.0932154347765,-29.7886508677416]}",0101000020E61000003CF6DE3DF70550C08AE9F405E5C93DC0
LA CUESTA,LA RIOJA,URANIO,"{""type"":""Point"",""coordinates"":[-68.8514652477418,-29.6751671628397]}",0101000020E6100000D02E18687E3651C0D2BA53C1D7AC3DC0
SAN JOSE,SAN JUAN,ORO,"{""type"":""Point"",""coordinates"":[-69.3530011369797,-29.6896148298617]}",0101000020E6100000D2B11492975651C0B217F5988AB03DC0
SAN JUDAS,SAN JUAN,ORO,"{""type"":""Point"",""coordinates"":[-69.407112424335,-29.7053557585941]}",0101000020E6100000181445210E5A51C0FF34EB3192B43DC0
CERRO ASPERO,SAN JUAN,URANIO,"{""type"":""Point"",""coordinates"":[-68.7576620049789,-29.7497777552086]}",0101000020E61000009A33C7887D3051C0AEE3596FF1BF3DC0
GENERAL BELGRANO,SAN JUAN,ORO,"{""type"":""Point"",""coordinates"":[-68.6690088148395,-29.8039117921631]}",0101000020E61000002A1E590AD12A51C08B35C829CDCD3DC0
LAS CATITAS,SAN JUAN,URANIO,"{""type"":""Point"",""coordinates"":[-68.8057508455845,-29.8213203113596]}",0101000020E61000009FA0FE6B913351C088D4440C42D23DC0
RETIRO,CORDOBA,MANGANESO,"{""type"":""Point"",""coordinates"":[-64.1479272218554,-29.9527389359049]}",0101000020E6100000A903BDA3770950C06C56EBB2E6F33DC0
LA SALAMANCA,SAN JUAN,ORO,"{""type"":""Point"",""coordinates"":[-68.6985772393979,-29.8389195928759]}",0101000020E6100000673C4F7DB52C51C02C60376FC3D63DC0
CERRO BLANCO,SAN JUAN,URANIO,"{""type"":""Point"",""coordinates"":[-68.7622484342451,-29.8868706108652]}",0101000020E61000009F20A8ADC83051C00C73CDF309E33DC0
DESPRECIADA,SAN JUAN,ORO,"{""type"":""Point"",""coordinates"":[-69.0303245939364,-29.891008571331]}",0101000020E610000029CE90D6F04151C07952422319E43DC0
JULIO CESAR,SAN JUAN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.6478469497562,-29.8795385536787]}",0101000020E610000008810D53766951C0009F4B7029E13DC0
LA PUNILLA,SAN JUAN,ORO,"{""type"":""Point"",""coordinates"":[-69.0381681094047,-29.9433410479596]}",0101000020E61000002C69A758714251C007F685CC7EF13DC0
EL RANCHITO,SAN JUAN,URANIO,"{""type"":""Point"",""coordinates"":[-68.6092546076492,-29.9653532624712]}",0101000020E61000009AB20907FE2651C08866336421F73DC0
EL PESCADO ATOMICO,SAN JUAN,URANIO,"{""type"":""Point"",""coordinates"":[-68.7139532164516,-29.9790282177501]}",0101000020E610000024E2D468B12D51C01819E197A1FA3DC0
EL PESCADO,SAN JUAN,COBRE,"{""type"":""Point"",""coordinates"":[-68.6780176153306,-30.0078797037763]}",0101000020E61000003EFDFEA3642B51C086057E6704023EC0
LOS CABALLOS,SAN JUAN,ORO,"{""type"":""Point"",""coordinates"":[-68.8740051265668,-30.0308270165064]}",0101000020E6100000FFC832B3EF3751C078BA8347E4073EC0
LA ENTERRADA,SAN JUAN,URANIO,"{""type"":""Point"",""coordinates"":[-68.3323032300144,-30.0845840135095]}",0101000020E61000001851C474441551C0A1C9434CA7153EC0
ZONA DE GAUCHI,SAN JUAN,ORO,"{""type"":""Point"",""coordinates"":[-68.8743599469276,-30.0714520927928]}",0101000020E6100000203F6C83F53751C0ABC631AF4A123EC0
GUALAMPI,SAN JUAN,URANIO,"{""type"":""Point"",""coordinates"":[-68.5472569556702,-30.1028748543008]}",0101000020E61000002EC70942062351C07DCDA601561A3EC0
SAN ANTONIO,SAN JUAN,COBRE,"{""type"":""Point"",""coordinates"":[-69.7081718742648,-30.2748317560347]}",0101000020E610000082FA1FB0526D51C04212BC5F5B463EC0
RINCON SECO,SAN JUAN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.7158472547028,-30.2980828248372]}",0101000020E610000053F80071D06D51C0DC2CF0274F4C3EC0
DON CARLOS,SAN JUAN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.8697519010472,-30.2917518723228]}",0101000020E61000006CA8E003AA7751C04E2C2E40B04A3EC0
CATALINA,SAN JUAN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.7339121079887,-30.5511196240794]}",0101000020E6100000CA7C7D6AF86E51C0DB9AF92C168D3EC0
SAN PABLO,SAN JUAN,ORO,"{""type"":""Point"",""coordinates"":[-69.6701732962774,-30.6564736496485]}",0101000020E61000007C8A891EE46A51C010ED37A80EA83EC0
DELIA,CORDOBA,ORO,"{""type"":""Point"",""coordinates"":[-65.3822879574197,-30.8356363238317]}",0101000020E61000006BB1E867775850C0EF341A43ECD53EC0
DOS AMIGOS,SAN JUAN,COBRE,"{""type"":""Point"",""coordinates"":[-69.5363405641799,-30.7478552831992]}",0101000020E6100000EFAA5F67536251C0447B9F7173BF3EC0
LA CORDOBESA,CORDOBA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-64.6839638159027,-30.9160817399122]}",0101000020E6100000C13C2B10C62B50C0C162395584EA3EC0
KO-TI-BE,LA RIOJA,URANIO,"{""type"":""Point"",""coordinates"":[-66.482365310897,-30.8925072435649]}",0101000020E6100000C0C1C012DF9E50C0E28DCE5A7BE43EC0
STA TERESITA,SAN JUAN,COBRE,"{""type"":""Point"",""coordinates"":[-68.4546986215272,-30.8358860394137]}",0101000020E6100000B83F3FC8191D51C0FB76A2A0FCD53EC0
LA VIEJA,CORDOBA,COBRE,"{""type"":""Point"",""coordinates"":[-64.7037441846594,-30.9574530478974]}",0101000020E610000033770C250A2D50C0CD2C98A41BF53EC0
DON ARTURO,SAN JUAN,COBRE,"{""type"":""Point"",""coordinates"":[-69.7455250444937,-30.8159313386033]}",0101000020E6100000C01CADAEB66F51C01E154FE0E0D03EC0
NUEVA AURORA,CORDOBA,MANGANESO,"{""type"":""Point"",""coordinates"":[-65.2579468228618,-30.9827450370554]}",0101000020E61000001D136433825050C09975C22D95FB3EC0
GRUPO LA CANDELARIA,CORDOBA,ORO,"{""type"":""Point"",""coordinates"":[-64.8562317715195,-31.0499396881872]}",0101000020E61000003B1E5880CC3650C06289EFD8C80C3FC0
SAN IGNACIO,CORDOBA,ORO,"{""type"":""Point"",""coordinates"":[-64.5553689140038,-31.0724955691944]}",0101000020E610000020B70E2A8B2350C082CBD2118F123FC0
STA TERESITA,CORDOBA,MANGANESO,"{""type"":""Point"",""coordinates"":[-65.2573764928575,-31.0670811849831]}",0101000020E610000040E540DB785050C0EAAD873B2C113FC0
GRUPO LA CANDELARIA,CORDOBA,ORO,"{""type"":""Point"",""coordinates"":[-64.8207275973845,-31.1015056908663]}",0101000020E6100000386C0BCD863450C0E7A0E646FC193FC0
GRUPO LA CANDELARIA,CORDOBA,ORO,"{""type"":""Point"",""coordinates"":[-64.8741962901037,-31.1057411321413]}",0101000020E6100000EC11FFD4F23750C09263D0D9111B3FC0
PASCUALITO,CORDOBA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-65.2075132242886,-31.1034510465974]}",0101000020E6100000A5F38BE5474D50C069DF8DC47B1A3FC0
GRUPO LA CANDELARIA,CORDOBA,ORO,"{""type"":""Point"",""coordinates"":[-64.8248185093961,-31.1403552995571]}",0101000020E61000007ABF92D3C93450C00C6B2D53EE233FC0
LA CASUALIDAD,CORDOBA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-64.5694445557709,-31.1633343516473]}",0101000020E6100000F8FA93C7712450C079A3B247D0293FC0
GRUPO LA CANDELARIA,CORDOBA,ORO,"{""type"":""Point"",""coordinates"":[-64.9148239756632,-31.168781494466]}",0101000020E61000007B44DC798C3A50C0C8E69643352B3FC0
,CORDOBA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-65.4086541108942,-31.1800857621267]}",0101000020E6100000AC6A9263275A50C02DCFBA191A2E3FC0
BALITO; EL NI¥O DIOS,CORDOBA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-64.9812511743679,-31.2029131502226]}",0101000020E61000009AC4B9D1CC3E50C05D22C01DF2333FC0
POCA ROPA,CORDOBA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-64.6649497784009,-31.2076773362132]}",0101000020E6100000B8ED83898E2A50C0F12787572A353FC0
BUENA FORTUNA,SAN JUAN,ORO,"{""type"":""Point"",""coordinates"":[-67.6006260968879,-31.1434180560741]}",0101000020E61000007CD070A870E650C08D7EB40BB7243FC0
ANIO; CHINITA,CORDOBA,COBRE,"{""type"":""Point"",""coordinates"":[-64.717710501964,-31.2197197223644]}",0101000020E6100000997B07F8EE2D50C053D73D8D3F383FC0
DON PEDRO; EL INDIO,CORDOBA,COBRE,"{""type"":""Point"",""coordinates"":[-64.557344887923,-31.234016479635]}",0101000020E6100000358EE489AB2350C0E3C10681E83B3FC0
GRUPO LA CANDELARIA,CORDOBA,ORO,"{""type"":""Point"",""coordinates"":[-64.9356793852892,-31.2474377442676]}",0101000020E6100000F0D6C92BE23B50C0E96C7B14583F3FC0
GRUPO MINERO CASTA¥O NUEVO,SAN JUAN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.683029694071,-31.1078353183593]}",0101000020E6100000D98E2DC2B66B51C0F6B46D189B1B3FC0
CASTA¥O NUEVO,SAN JUAN,ORO,"{""type"":""Point"",""coordinates"":[-69.6270219340839,-31.1939708658085]}",0101000020E6100000F4309B20216851C03A061D13A8313FC0
NUCHA,CORDOBA,COBRE,"{""type"":""Point"",""coordinates"":[-64.3455729668657,-31.3629904599798]}",0101000020E61000007BC413DE1D1650C0925F5AF1EC5C3FC0
PUNILLA; RODOLFO,CORDOBA,URANIO,"{""type"":""Point"",""coordinates"":[-64.4386938847338,-31.3894948845395]}",0101000020E6100000C4F8838F131C50C0730ECFEFB5633FC0
JOSEFINA,SAN JUAN,COBRE,"{""type"":""Point"",""coordinates"":[-69.4978120591501,-31.2841712121542]}",0101000020E6100000A8661C27DC5F51C0C7AACE71BF483FC0
EL JOTE,SAN JUAN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.4784028390955,-31.3207648596999]}",0101000020E6100000A00EF1269E5E51C0F01D56A51D523FC0
SAN JOSE,SAN JUAN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.7738827663707,-31.3691218234932]}",0101000020E61000000220954B877151C0A62490C47E5E3FC0
SCHALAGINWIT,CORDOBA,URANIO,"{""type"":""Point"",""coordinates"":[-64.7797071958506,-31.5630391415922]}",0101000020E610000094A802B9E63150C09D814B5523903FC0
ADRIANA I-XXXV,LA RIOJA,ORO,"{""type"":""Point"",""coordinates"":[-66.336915708,-31.6902386124339]}",0101000020E61000009CD7E606909550C004D74A7AB3B03FC0
EL TONTAL,SAN JUAN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.2600169001709,-31.7408859471604]}",0101000020E61000000EA9EC1DA45051C0AB1E91B3AABD3FC0
SAN ISIDRO,LA RIOJA,ORO,"{""type"":""Point"",""coordinates"":[-66.3043958694968,-31.8984114286739]}",0101000020E6100000AF21D0387B9350C0C581984AFEE53FC0
LA LITA; LA LEALTAD,CORDOBA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-64.4770719284811,-31.9362500256092]}",0101000020E6100000A1AAB258881E50C0EADEE814AEEF3FC0
INMACULADA CONCEPCION,CORDOBA,COBRE,"{""type"":""Point"",""coordinates"":[-64.39420247738,-31.9819056171988]}",0101000020E61000005916079D3A1950C0ACA0A12A5EFB3FC0
STA TERESA,CORDOBA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-64.4432977227434,-32.0034713198648]}",0101000020E6100000BE6469FD5E1C50C085A58ABF710040C0
EL TIO,CORDOBA,COBRE,"{""type"":""Point"",""coordinates"":[-64.406316679694,-32.1457603796613]}",0101000020E6100000BCC6AC17011A50C04CD9AF46A81240C0
LA TINAJA,SAN LUIS,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-65.5779634974504,-32.3767139840118]}",0101000020E610000030F59B5AFD6450C066A3F029383040C0
DEDY,MENDOZA,ORO,"{""type"":""Point"",""coordinates"":[-69.0856284821414,-32.2865423804392]}",0101000020E6100000D499E2EF7A4551C0BF73B46BAD2440C0
LA PLUMA; CHINA VIEJA,SAN LUIS,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-65.5017960456411,-32.4334642452527]}",0101000020E61000009B52296D1D6050C045ACA2C17B3740C0
EL NEUTRON,SAN LUIS,URANIO,"{""type"":""Point"",""coordinates"":[-65.829163490796,-32.4314123374117]}",0101000020E61000006600BF03117550C01423FC84383740C0
GRACIELA ELSA; JORGE ALFREDO,SAN LUIS,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-65.4523320162292,-32.451445194103]}",0101000020E6100000D928FC01F35C50C0F14DC4F4C83940C0
FARALLON NEGRO,SAN LUIS,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-65.597780926038,-32.4834682107153]}",0101000020E61000005FE0ED0A426650C0C1D64C49E23D40C0
DESEADA,MENDOZA,ORO,"{""type"":""Point"",""coordinates"":[-69.0302700438223,-32.4235655603521]}",0101000020E6100000FB10C4F1EF4151C04AB67265373640C0
NUMERO 4,MENDOZA,ORO,"{""type"":""Point"",""coordinates"":[-68.9973381236464,-32.4470656312635]}",0101000020E610000062074863D43F51C0A2B85472393940C0
BRILLANTE; CARMEN,MENDOZA,ORO,"{""type"":""Point"",""coordinates"":[-69.1956943043913,-32.4388253228317]}",0101000020E6100000F0576741864C51C0FC1B9D6D2B3840C0
SALVADORA,MENDOZA,ORO,"{""type"":""Point"",""coordinates"":[-69.0343352708027,-32.4650976444022]}",0101000020E6100000984C908C324251C0BD13D251883B40C0
CERRO SAN ANTONIO; FRANKLIN,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-69.2472707033925,-32.5141929916904]}",0101000020E61000001A158048D34F51C03C927113D14140C0
MANTOS DE COBRE,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-69.0478017492443,-32.5243830590015]}",0101000020E61000008C6C112F0F4351C0797EECFB1E4340C0
BOQUI; LEOPOLDINA,MENDOZA,ORO,"{""type"":""Point"",""coordinates"":[-69.1318546687397,-32.6147296061762]}",0101000020E6100000F483904E704851C07034B175AF4E40C0
SAN ANTONIO,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-68.9189201738573,-32.6359724520758]}",0101000020E610000086968F96CF3A51C04469998B675140C0
ARIANNE,SAN LUIS,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-65.5505240358269,-32.7505138502583]}",0101000020E610000078622AC93B6350C0F6067DD6106040C0
MORTEGA (GRUPO CAROLINA),SAN LUIS,ORO,"{""type"":""Point"",""coordinates"":[-66.145199495158,-32.9202204782468]}",0101000020E61000005DC6D2F24A8950C0F496DDC8C97540C0
LAS PALOMAS (GRUPO CAROLINA),SAN LUIS,ORO,"{""type"":""Point"",""coordinates"":[-66.0797926445138,-32.9220452774104]}",0101000020E610000079A99B521B8550C052F46394057640C0
GERMINAL,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-70.150110336928,-32.7681890249265]}",0101000020E61000006DF962689B8951C0529A9904546240C0
SN SALVADOR (GRUPO CAROLINA),SAN LUIS,ORO,"{""type"":""Point"",""coordinates"":[-66.1569366982906,-33.0043251551186]}",0101000020E6100000D0AC38400B8A50C070E407BA8D8040C0
EL SOL,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-70.141318697261,-32.842614746225]}",0101000020E610000025C3935D0B8951C0F214CDCCDA6B40C0
MANTO AZUL; MANTO FLOR,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-69.3235881272456,-32.8900885118709]}",0101000020E610000030F9F9AAB55451C0F1839C6BEE7140C0
LA CELESTINA; LA LUCIA,SAN LUIS,ORO,"{""type"":""Point"",""coordinates"":[-65.9006384504679,-33.0416008421698]}",0101000020E6100000E691740FA47950C07B4D282D538540C0
LA BLANCA,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-69.3068114190489,-32.9297481367549]}",0101000020E6100000ACB65CCCA25351C08E70A8FC017740C0
SAN LORENZO,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-69.2508459578236,-32.9361046316061]}",0101000020E6100000E74B34DC0D5051C0EC30CD46D27740C0
LA CAMPEONA,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-70.1020396389239,-32.9011929662961]}",0101000020E6100000B80444D1878651C03CD0864A5A7340C0
CHIVILCOY; EL OMAR,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-69.1120371178423,-32.9565731349671]}",0101000020E61000008B44BB9D2B4751C036750DFD707A40C0
EL BOLIVIANO,MENDOZA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.6869890212597,-32.9305690996638]}",0101000020E61000005FC1CCA0F76B51C0B5DC64E31C7740C0
LA LETICIA,SAN LUIS,COBRE,"{""type"":""Point"",""coordinates"":[-66.3012337975255,-33.0683583254425]}",0101000020E610000098341F6A479350C0AE1732F7BF8840C0
SAN PEDRO NOLASCO,MENDOZA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.1463438191256,-32.9894208245483]}",0101000020E6100000734777B25D4951C046B57157A57E40C0
INCA,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-69.8894878102379,-32.9665166055929]}",0101000020E610000066CA475EED7851C0FF07EED0B67B40C0
CATALINA,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-70.0551010596363,-32.9695163114736]}",0101000020E61000003B4798C6868351C0DA5B491C197C40C0
ROSARIO,MENDOZA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.8231101469506,-32.9948639515327]}",0101000020E6100000288A2ED6AD7451C0B2E6B3B3577F40C0
VIRARCO,SAN LUIS,COBRE,"{""type"":""Point"",""coordinates"":[-66.1529252060265,-33.20541157315]}",0101000020E610000088A7CD86C98950C01A732AED4A9A40C0
AMELIA,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-69.3552975214718,-33.2825522837958]}",0101000020E61000008CC4D031BD5651C00C2859AC2AA440C0
CLARITA,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-69.3856979168096,-33.3069089097309]}",0101000020E610000046B55046AF5851C0931289CA48A740C0
SARITA,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-69.3625191330237,-33.3218492808848]}",0101000020E6100000B3207383335751C01AD2735B32A940C0
BARRERA,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-69.5494345281281,-33.4307072747307]}",0101000020E61000009B6670EF296351C0088F7D6A21B740C0
EL COBRE,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-69.5350249197993,-33.4617206861486]}",0101000020E6100000504529D93D6251C09072D7A919BB40C0
30 DE AGOSTO,MENDOZA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.5568804556199,-33.7754289132025]}",0101000020E6100000D42AECEDA36351C0EC492F4141E340C0
YAUCHA,MENDOZA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.4653481569372,-34.3026706263764]}",0101000020E610000027D3A243C85D51C086DF3CE9BD2641C0
EL PAISANO,MENDOZA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-68.7414284740392,-34.4370634756205]}",0101000020E610000096146A90732F51C076082BB2F13741C0
LA PAISANITA,MENDOZA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-68.807261675818,-34.4650575708403]}",0101000020E6100000F23CE02CAA3351C00FC2A801873B41C0
EL RODEO,MENDOZA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-68.8504256766777,-34.6236316539487]}",0101000020E61000009740D15F6D3651C0E33A7B29D34F41C0
AGUA DEL PABLITO; CELIA,MENDOZA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-68.8750235992123,-34.7033352007088]}",0101000020E61000001576FB62003851C0B8954AE3065A41C0
SANTA TERESA,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-68.7782951371595,-34.7871684520317]}",0101000020E61000001B2F6896CF3151C0A4F592EFC16441C0
VILLAGRA; CLOTILDE,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-70.2518007189424,-34.852894143608]}",0101000020E6100000E53DC3801D9051C08CDFA2A22B6D41C0
ANITA; CARMEN,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-68.3456933056805,-35.2706229761779]}",0101000020E61000000096D0D61F1651C07C1D10C6A3A241C0
AGUILA PRIMERA; AMELIA,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-70.223920534798,-35.187910835701]}",0101000020E61000000C77CBB6548E51C028F356760D9841C0
ABAD; CRUZ DEL SUR,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-68.3851228864549,-35.2910126509548]}",0101000020E6100000F39076DAA51851C05A490DE73FA541C0
ANITA,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-70.2200248494091,-35.2378261062658]}",0101000020E61000003C211BE3148E51C0F245FA15719E41C0
ADRIANA,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-70.2287912728986,-35.2694516164413]}",0101000020E61000006AAD2684A48E51C0263CFC637DA241C0
LA ESPERANZA; LEONOR,MENDOZA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-68.3935677985844,-35.4610874718283]}",0101000020E610000072EBFD36301951C08B0C0EEA04BB41C0
SAN EDUARDO; SANTO TOMAS,MENDOZA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-68.36385771904,-35.4893005829022]}",0101000020E610000022EBE271491751C047BDC866A1BE41C0
CUHINCHENQUE,MENDOZA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.9023352998104,-35.62880226641]}",0101000020E610000092AD8EDCBF7951C0DEF0B8977CD041C0
HUEMUL,MENDOZA,URANIO,"{""type"":""Point"",""coordinates"":[-69.6561776858062,-35.6961867217691]}",0101000020E6100000C139B1D0FE6951C032F480A51CD941C0
CERRO MIRANO,MENDOZA,URANIO,"{""type"":""Point"",""coordinates"":[-69.4695739969029,-35.7421286606877]}",0101000020E610000002F017800D5E51C0FE896B12FEDE41C0
