yacimiento,provincia,mineraliza,geojson,geom
LALO,MENDOZA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-68.345448258251,-35.8337103520933]}",0101000020E61000007BE902D31B1651C0E8495405B7EA41C0
URICO,MENDOZA,URANIO,"{""type"":""Point"",""coordinates"":[-69.4725226384952,-35.7834896946604]}",0101000020E610000038BD97CF3D5E51C0E7A8EB6349E441C0
CEFERINO; MARIA HELENA,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-69.5237215694612,-35.8166110929045]}",0101000020E6100000EA4279A7846151C0A8C958B686E841C0
PABLO DANIEL,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-69.4920225307873,-35.846062834035]}",0101000020E610000019A8114C7D5F51C0464575C94BEC41C0
LOMAS MORAS,MENDOZA,MANGANESO,"{""type"":""Point"",""coordinates"":[-68.4282215943342,-36.1696277733867]}",0101000020E6100000D1C68BFB671B51C03D98E55CB61542C0
LA NEGRITA,MENDOZA,MANGANESO,"{""type"":""Point"",""coordinates"":[-68.644268421921,-36.1914327545426]}",0101000020E6100000BF7F9EB13B2951C0651256DE801842C0
SANTA CRUZ; CHACAYAL,MENDOZA,MANGANESO,"{""type"":""Point"",""coordinates"":[-68.3799114955305,-36.2115466413922]}",0101000020E6100000662B4E78501851C0DA2DD9F5131B42C0
LIN CULLIN,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-69.8915241235957,-36.282602180811]}",0101000020E6100000129C32BB0E7951C0482EEA4E2C2442C0
MARIA REDONDO,MENDOZA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.931950365124,-36.3806850594107]}",0101000020E6100000FCEC2413A57B51C0521FBC49BA3042C0
JUAN CARLOS; LA PUNTILLA,MENDOZA,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.7451187317606,-36.4453628424802]}",0101000020E61000001C237A06B06F51C02EA74DA6013942C0
CESAR; COSTA RICA,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-69.7377633134266,-36.5223004579142]}",0101000020E6100000C4D69D83376F51C0B6B6CCBDDA4242C0
CESAR; COSTA RICA,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-69.7754535079589,-36.5246452974217]}",0101000020E61000002010C007A17151C09436BD93274342C0
NIDIA;LUIS; JOSE; CARLOS,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-69.4418664732466,-36.6536315291187]}",0101000020E6100000C0F2508A475C51C08999AC32AA5342C0
NIDIA; LUIS; JOSE; CARLOS,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-69.4891264008145,-36.6697875768807]}",0101000020E6100000F4C6D1D84D5F51C022FC6C99BB5542C0
NIDIA; LUIS; JOSE; CARLOS,MENDOZA,COBRE,"{""type"":""Point"",""coordinates"":[-69.44159419153,-36.6902494143645]}",0101000020E610000062AE4814435C51C0B263C2175A5842C0
ALAMITOS,NEUQUEN,ORO,"{""type"":""Point"",""coordinates"":[-70.3883145809928,-36.9533578647697]}",0101000020E6100000247B6625DA9851C0FC4869A1077A42C0
LOS MELLIZOS,NEUQUEN,COBRE,"{""type"":""Point"",""coordinates"":[-70.3757626119748,-36.9754514967534]}",0101000020E6100000715FA07E0C9851C0EEB13A98DB7C42C0
BUTALO,NEUQUEN,ORO,"{""type"":""Point"",""coordinates"":[-70.6008028698038,-37.1102143735277]}",0101000020E61000009B49E18D73A651C0E1EC2C811B8E42C0
LA RESPETARAN,NEUQUEN,COBRE,"{""type"":""Point"",""coordinates"":[-70.5077173605859,-37.1828899453329]}",0101000020E6100000FFD4F4707EA051C065FC0EF0689742C0
ISOLDE,NEUQUEN,ORO,"{""type"":""Point"",""coordinates"":[-70.5201572939437,-37.2313820001598]}",0101000020E6100000E390D1414AA151C0E4C8E5EC9D9D42C0
DR. BOB,NEUQUEN,COBRE,"{""type"":""Point"",""coordinates"":[-70.5183240350277,-37.2617087039198]}",0101000020E61000002ECB92382CA151C0FA34BAAB7FA142C0
ANA MARIA (GRUPO ANDACOLLO),NEUQUEN,ORO,"{""type"":""Point"",""coordinates"":[-70.654288033559,-37.2590645726429]}",0101000020E61000003193EADADFA951C0D886250729A142C0
DON MIGUEL (GRUPO ANDACOLLO),NEUQUEN,ORO,"{""type"":""Point"",""coordinates"":[-70.6951787052999,-37.2672211193338]}",0101000020E6100000E008D3CE7DAC51C0702B384D34A242C0
DON MARCELO,NEUQUEN,COBRE,"{""type"":""Point"",""coordinates"":[-70.5190632543053,-37.3122134459527]}",0101000020E6100000F872155538A151C080DE359CF6A742C0
AQUI-HUACO,NEUQUEN,COBRE,"{""type"":""Point"",""coordinates"":[-70.1286744659797,-37.3462221397182]}",0101000020E6100000A6CDD3333C8851C0D09ECF0151AC42C0
DIST. MINEROS(GRUPO ANDACOLLO),NEUQUEN,ORO,"{""type"":""Point"",""coordinates"":[-70.7384930859023,-37.3458807326515]}",0101000020E61000007211817843AF51C0FA86E1D145AC42C0
MARGARITA ROSA,NEUQUEN,ORO,"{""type"":""Point"",""coordinates"":[-70.5196097746933,-37.3701884958723]}",0101000020E6100000563F5B4941A151C03E902D5662AF42C0
LA MOJADA,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.4475719255222,-37.381438906507]}",0101000020E610000071AEB704A59C51C0506F76FDD2B042C0
ENDE,NEUQUEN,COBRE,"{""type"":""Point"",""coordinates"":[-70.5217038997564,-37.3934048491127]}",0101000020E610000092E9C09863A151C06E8310175BB242C0
ATREUCO; INCA(GRUPO ANDACOLLO),NEUQUEN,ORO,"{""type"":""Point"",""coordinates"":[-70.6649859510166,-37.394781546405]}",0101000020E61000009EFA3B218FAA51C0D36FA33388B242C0
ANTONIA (GRUPO ANDACOLLO),NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.6874538302142,-37.4018970950856]}",0101000020E6100000EC91593EFFAB51C002E02F5D71B342C0
CURA MALLIN (GRUPO ANDACOLLO),NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.7005125282067,-37.4569030573126]}",0101000020E610000083C57F32D5AC51C0D04CA4CC7BBA42C0
CHACAY MALIHUE,NEUQUEN,COBRE,"{""type"":""Point"",""coordinates"":[-70.4118150799881,-37.4802922545056]}",0101000020E61000001B23A32D5B9A51C0DBCF72377ABD42C0
LA TOSCA,NEUQUEN,COBRE,"{""type"":""Point"",""coordinates"":[-69.819589320324,-37.5747940689648]}",0101000020E61000004FBCC326747451C0BC1120DA92C942C0
HERCUALES (GRUPO ANDACOLLO),NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.6635895210971,-37.5286124438573]}",0101000020E610000027C52E4078AA51C01F509392A9C342C0
DON FELIPE; LA BUITRERA,NEUQUEN,COBRE,"{""type"":""Point"",""coordinates"":[-70.4718689458768,-37.6262125254085]}",0101000020E61000007BA2CE19339E51C0D17C66BB27D042C0
,NEUQUEN,URANIO,"{""type"":""Point"",""coordinates"":[-68.3120401661339,-37.7446094506373]}",0101000020E610000056255177F81351C0D463CB5C4FDF42C0
LA INSOLITA,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.2468093019647,-37.6477538476797]}",0101000020E61000005C123EB9CB8F51C039D21B99E9D242C0
LA PRIMERA,NEUQUEN,URANIO,"{""type"":""Point"",""coordinates"":[-70.5203522351772,-37.6396147505021]}",0101000020E6100000231F76734DA151C008B969E5DED142C0
KARINA,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.2589414430307,-37.7179592329477]}",0101000020E61000005A59217F929051C08CAF9016E6DB42C0
CACIQUE PURRAN,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.4844068288975,-37.7690913216774]}",0101000020E6100000B8048085009F51C0FA1E9D9571E242C0
NUMEN,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.6476113115994,-37.8752132685273]}",0101000020E6100000B6F5B67672A951C0CCAC06FD06F042C0
LIANA,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.7014043491861,-37.9210470041553]}",0101000020E6100000AF4111CFE3AC51C0877644DEE4F542C0
LA Y,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.6538922394577,-37.9495149066626]}",0101000020E610000010E5D55ED9A951C01D9757B489F942C0
SAN BERNARDO,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.3753881812964,-37.9953516796476]}",0101000020E6100000457E265C069851C0720D10AF67FF42C0
SAN AGUSTIN,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.0779114466877,-38.0512899065858]}",0101000020E61000007EE04A80FC8451C04AB3EBAA900643C0
DON AGUSTIN,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.6129548861917,-38.0568868991386]}",0101000020E6100000768721A73AA751C080AFE511480743C0
LA BLANCA,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.0544489452308,-38.1178923546667]}",0101000020E610000057C46D177C8351C0FCDEBF18170F43C0
,LA PAMPA,COBRE,"{""type"":""Point"",""coordinates"":[-65.7290091959625,-38.3114632917723]}",0101000020E61000001AC92F16A86E50C084087607DE2743C0
MARIA TERESA; PALO QUEMADO.,NEUQUEN,URANIO,"{""type"":""Point"",""coordinates"":[-69.616588022055,-38.1611931385105]}",0101000020E610000036759B2D766751C0041F0DFAA11443C0
LA SILVITA,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.610833302607,-38.1439446819058]}",0101000020E61000004C8090E417A751C0F89B82C76C1243C0
LA CHIQUITA,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.9389663741159,-38.1977318282432]}",0101000020E6100000C8376B06187C51C064D7CB464F1943C0
LA PROVIDENCIA CHICA,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.4594621380555,-38.236604614617]}",0101000020E6100000B32CE2D3679D51C072EE5C0F491E43C0
4 DE MAYO,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.5060478947068,-38.2802514125252]}",0101000020E61000006E7EB51663A051C012BA3D47DF2343C0
9 DE JULIO,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.0509098129231,-38.3562810621031]}",0101000020E610000034633B1B428351C05FF52A9E9A2D43C0
CARMELA; CARMEN; LAS TENIA,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.6146511378891,-38.3247452864575]}",0101000020E6100000B6EBB97156A751C0B86EE840912943C0
LA REVANCHA VICTORIA,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.4464348736489,-38.3792660869823]}",0101000020E610000069879363929C51C0130988CA8B3043C0
EL VARON JORGITO,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.1292916813587,-38.4024944061857]}",0101000020E610000024C59D50468851C0FCB1CBEF843343C0
AMELIA; BELEN; TERESA,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.627363536428,-38.3822623070373]}",0101000020E61000004FEA63B926A851C0009CA5F8ED3043C0
JUANITA,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.1978704702879,-38.4186226081122]}",0101000020E6100000C1AEE7E8A98C51C09D9AF56C953543C0
LA ARAUCANA,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.5677725514961,-38.4003240618114]}",0101000020E61000007F0FAF6256A451C01AA4A0D13D3343C0
LA DISCORDIA,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.1275473211899,-38.6313200056937]}",0101000020E6100000FE4C3DBC298851C0EEE10C18CF5043C0
CUPROSA; LA BARROSA,NEUQUEN,COBRE,"{""type"":""Point"",""coordinates"":[-68.845817374365,-38.9669768258443]}",0101000020E6100000555232DF213651C0DC7E89E5C57B43C0
CARRERI,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.6347278425982,-39.0500901012782]}",0101000020E6100000797487619FA851C0EC6B395A698643C0
CARRERI,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.6452307984374,-39.0871911505015]}",0101000020E6100000476A1E764BA951C0CAF36114298B43C0
CASA MAYOR,NEUQUEN,COBRE,"{""type"":""Point"",""coordinates"":[-70.8295858647758,-39.0910903013311]}",0101000020E6100000E39B4FEF17B551C09A99D4D8A88B43C0
CERRO CACHIL,NEUQUEN,COBRE,"{""type"":""Point"",""coordinates"":[-70.7679406685039,-39.1214219178629]}",0101000020E61000008A1F9EF025B151C0941EDFC08A8F43C0
GANARA; LAURA,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.6219826039122,-39.2291916817798]}",0101000020E6100000F59E1F90CEA751C03AE12C27569D43C0
KOKITO,NEUQUEN,COBRE,"{""type"":""Point"",""coordinates"":[-69.1733826350308,-39.4198347291676]}",0101000020E6100000B5C97AB3184B51C0FBBFF724BDB543C0
LA CARMEN,NEUQUEN,COBRE,"{""type"":""Point"",""coordinates"":[-69.2136886869206,-39.4365051706435]}",0101000020E61000005B765013AD4D51C07639C466DFB743C0
CHIQUILLON,NEUQUEN,COBRE,"{""type"":""Point"",""coordinates"":[-70.6348431806197,-39.5008438093753]}",0101000020E610000067B64A45A1A851C0E3D562A61BC043C0
ROSA ARGENTINA; 1§ DE MAYO,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-70.6886758873102,-39.5248412525712]}",0101000020E61000009F62074413AC51C04EB187FF2DC343C0
LOS LEONES,NEUQUEN,COBRE,"{""type"":""Point"",""coordinates"":[-69.5451246614171,-39.6067944411434]}",0101000020E6100000E4418C52E36251C0860DB470ABCD43C0
QUILLEN,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-71.2144510667371,-39.6156530861262]}",0101000020E6100000988EF790B9CD51C0FC4B67B8CDCE43C0
NAHUEL MAPI,NEUQUEN,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-71.0947293646721,-39.7541665686325]}",0101000020E610000031CFC00B10C651C0B201B68788E043C0
Q,RIO NEGRO,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-66.2111743519228,-40.7234188867916]}",0101000020E6100000CED06DE1838D50C0160A76FD985C44C0
GONZALITO; VICENTITO; POLITO,RIO NEGRO,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-65.5627142332177,-41.4502163328265]}",0101000020E61000007B2A8F82036450C0B5CE54B0A0B944C0
MARTANA; TURAN; PELIKAN,RIO NEGRO,MANGANESO,"{""type"":""Point"",""coordinates"":[-65.602109465359,-42.0119056072569]}",0101000020E61000000D9523F6886650C054E7781F860145C0
USTIA,RIO NEGRO,ORO,"{""type"":""Point"",""coordinates"":[-71.0979317580655,-41.8918135718875]}",0101000020E61000006788908344C651C062B176F226F244C0
ARROYO VERDE; SAN ANTONIO.,CHUBUT,MANGANESO,"{""type"":""Point"",""coordinates"":[-65.3419859009792,-42.1642523137588]}",0101000020E61000008419D518E35550C072F14538061545C0
GABRIELITO,CHUBUT,MANGANESO,"{""type"":""Point"",""coordinates"":[-65.2378439031129,-42.1797764282112]}",0101000020E6100000105BA2D5384F50C020E1FBE9021745C0
MARIA ADELA,CHUBUT,MANGANESO,"{""type"":""Point"",""coordinates"":[-69.052858622282,-42.1734226649427]}",0101000020E6100000D3802109624351C03A28C1B6321645C0
LILIANA,CHUBUT,ORO,"{""type"":""Point"",""coordinates"":[-69.0074547032292,-42.1768343913413]}",0101000020E610000087A44A237A4051C033CF6382A21645C0
ERNESTINA,CHUBUT,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-68.9617420337923,-42.1922549910406]}",0101000020E6100000E394752E8D3D51C08B81C1CF9B1845C0
AGUILA,CHUBUT,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-68.8567164912345,-42.2184858088622]}",0101000020E6100000F2F26771D43651C000DACD57F71B45C0
CLARA NATIVIDAD,CHUBUT,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.1142594438275,-42.2055809560531]}",0101000020E6100000E79FD706504751C0DC760D7A501A45C0
ANGELA,CHUBUT,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.0468995115579,-42.2390269845538]}",0101000020E6100000B915CF66004351C08CC2AC6F981E45C0
,RIO NEGRO,ORO,"{""type"":""Point"",""coordinates"":[-71.5514623238195,-42.0906814963034]}",0101000020E6100000F771A1284BE351C0E27C86739B0B45C0
BELCHA,CHUBUT,MANGANESO,"{""type"":""Point"",""coordinates"":[-66.1320240525828,-42.3927427439934]}",0101000020E61000003B080315738850C0B398EC64453245C0
CONDORCANQUI,jkjhkhj,COBRE,"{""type"":""Point"",""coordinates"":[-71.9331334902149,-42.3166611331895]}",0101000020E6100000A1D18775B8FB51C04F7B1D5A882845C0
FABIANA,CHUBUT,COBRE,"{""type"":""Point"",""coordinates"":[-69.0498548597972,-42.702661593149]}",0101000020E61000000A1870D2304351C0765DA9D0F05945C0
EL ANCIA DE ORO,CHUBUT,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-71.9843792657856,-42.9175749973827]}",0101000020E6100000365AE41100FF51C062B1F618737545C0
SANTA MARTA,CHUBUT,ORO,"{""type"":""Point"",""coordinates"":[-65.2846305737868,-43.364280071845]}",0101000020E6100000C9762763375250C05694B9BAA0AE45C0
GABRIEL,CHUBUT,MANGANESO,"{""type"":""Point"",""coordinates"":[-68.099320080108,-43.4525106005251]}",0101000020E610000098F99B425B0651C09E2C0BDEEBB945C0
FLORENCIA,CHUBUT,MANGANESO,"{""type"":""Point"",""coordinates"":[-67.985479027112,-43.4759253808247]}",0101000020E6100000C315A01612FF50C03AFD741FEBBC45C0
LAS QUEBRADAS; SANDRITAS,CHUBUT,COBRE,"{""type"":""Point"",""coordinates"":[-67.8955473135777,-43.4883679030705]}",0101000020E61000008FF5ADA550F950C0480DE6D682BE45C0
LIBERTADOR GENERAL SAN MARTIN,CHUBUT,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-72.0789296779547,-43.2400050456653]}",0101000020E6100000F55F102F0D0552C0F8003F7CB89E45C0
FLORENTINO AMEGHINO,CHUBUT,MANGANESO,"{""type"":""Point"",""coordinates"":[-65.8618264723864,-43.5947765030235]}",0101000020E61000007F6E382A287750C02775EEA221CC45C0
SANTA MAXIMA,CHUBUT,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.1303877272938,-43.4673816628644]}",0101000020E6100000B421C445584851C05E608E29D3BB45C0
BASALTO,CHUBUT,URANIO,"{""type"":""Point"",""coordinates"":[-68.993369358228,-43.4771525953118]}",0101000020E6100000059C125D933F51C06E08145613BD45C0
CASA DE PIEDRA,CHUBUT,URANIO,"{""type"":""Point"",""coordinates"":[-69.062929519202,-43.488671985302]}",0101000020E61000003DBB8809074451C0FCABB9CD8CBE45C0
LOS ADOBES,CHUBUT,URANIO,"{""type"":""Point"",""coordinates"":[-68.8198342540158,-43.5276754391763]}",0101000020E6100000DF48172A783451C01A1569DE8AC345C0
PICHI¥AN,CHUBUT,URANIO,"{""type"":""Point"",""coordinates"":[-69.0488204665092,-43.5344307043308]}",0101000020E610000017C2E0DF1F4351C0198AAE3968C445C0
LOS GUANACOS,CHUBUT,URANIO,"{""type"":""Point"",""coordinates"":[-69.0643899374653,-43.5590026564449]}",0101000020E6100000B9E6F8F61E4451C069E727668DC745C0
CERRO CONDOR,CHUBUT,URANIO,"{""type"":""Point"",""coordinates"":[-69.1162425524777,-43.5888525767152]}",0101000020E6100000E3529A84704751C022946F855FCB45C0
EL SOL,CHUBUT,COBRE,"{""type"":""Point"",""coordinates"":[-69.0012001331054,-43.6029946937896]}",0101000020E6100000111CB9A9134051C06CBE1CEE2ECD45C0
DANIELA PATRICIA,CHUBUT,MANGANESO,"{""type"":""Point"",""coordinates"":[-68.2839774755726,-43.6514714599074]}",0101000020E6100000A398DCAF2C1251C0334AB36A63D345C0
ADRIANA,CHUBUT,COBRE,"{""type"":""Point"",""coordinates"":[-69.4398401485121,-43.5985466579182]}",0101000020E6100000F1544B57265C51C0C571482D9DCC45C0
LA PERDIDA,CHUBUT,MANGANESO,"{""type"":""Point"",""coordinates"":[-66.0234670628418,-43.7704009418366]}",0101000020E610000013DCFE7B808150C07AFF807F9CE245C0
EVA PERON,CHUBUT,MANGANESO,"{""type"":""Point"",""coordinates"":[-66.13760634759,-43.7791224165214]}",0101000020E6100000BEA7DA8ACE8850C016458948BAE345C0
CALAFATE; CA¥ADON BAGUAL,CHUBUT,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.3321395914851,-43.6877238838508]}",0101000020E6100000A7C86AC6415551C0A0E8125607D845C0
MINA DEL MALLIN; STELA MARIS I,CHUBUT,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-69.4467899675861,-43.7631502613525]}",0101000020E6100000A2BDF234985C51C0AA3863E8AEE145C0
DO¥A ISABEL,CHUBUT,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-71.1389894232798,-44.9270103560985]}",0101000020E61000007FDEE433E5C851C0903F7D46A87646C0
EL SOLSITO,CHUBUT,COBRE,"{""type"":""Point"",""coordinates"":[-70.9934726927574,-45.0849352398486]}",0101000020E61000002D377D0E95BF51C0C2B66E28DF8A46C0
LAGO FONTANA,CHUBUT,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-71.6054684248561,-45.0851447155483]}",0101000020E610000022E1A2FEBFE651C0815AA405E68A46C0
FORTINA; SORPRESA; NATIVIDAD,CHUBUT,COBRE,"{""type"":""Point"",""coordinates"":[-71.651283895573,-45.1183212346849]}",0101000020E610000074F9A5A2AEE951C068B27426258F46C0
LAGO FONTANA,CHUBUT,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-71.5264269811249,-45.1412309168056]}",0101000020E610000078EACAFAB0E151C09E6ECCDA139246C0
,SANTA CRUZ,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-72.1558642968018,-47.5706860905729]}",0101000020E61000002B583EAEF90952C07AA5E73D0CC947C0
,SANTA CRUZ,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-72.2417675170275,-47.605716967044]}",0101000020E61000008EB7761E790F52C00F0B322288CD47C0
,SANTA CRUZ,PLOMO PLATA ZINC,"{""type"":""Point"",""coordinates"":[-72.1405956057161,-47.6324509872445]}",0101000020E6100000C220B684FF0852C0E2446927F4D047C0
,SANTA CRUZ,COBRE,"{""type"":""Point"",""coordinates"":[-67.3944627470325,-48.2041724883533]}",0101000020E6100000AC7FADE03ED950C0361CF852221A48C0
,SANTA CRUZ,COBRE,"{""type"":""Point"",""coordinates"":[-67.369479732493,-48.2385235472779]}",0101000020E6100000E6E5518EA5D750C03E7189F0871E48C0
,SANTA CRUZ,MANGANESO,"{""type"":""Point"",""coordinates"":[-67.4612403017951,-48.2440930813092]}",0101000020E6100000A5F30AF684DD50C098B32C713E1F48C0
